Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
St Mary Church,6000,1421000.0,Male,No,Yes,Yes,"Restaurants, Transportation",St Mary Church 6000 1421000.0 Male No Yes Yes Restaurants Transportation
Bharuwala colony,7700,1302000.0,Female,No,No,No,"Grocery Stores, Transportation",Bharuwala colony 7700 1302000.0 Female No No No Grocery Stores Transportation
Clement Town,7000,1402000.0,Female,No,No,Yes,"Restaurants, Grocery Stores, Gym",Clement Town 7000 1402000.0 Female No No Yes Restaurants Grocery Stores Gym
"Clement Town, Post Office Road, Lane No 10",5000,1490000.0,Female,Yes,No,Yes,"Restaurants, Medical Shops, Grocery Stores",Clement Town Post Office Road Lane No 10 5000 1490000.0 Female Yes No Yes Restaurants Medical Shops Grocery Stores
ISBT Road,5300,1230000.0,Male,No,No,Yes,"Transportation, Grocery Stores",ISBT Road 5300 1230000.0 Male No No Yes Transportation Grocery Stores
Bharuwala colony,4000,1073000.0,Female,No,Yes,No,"Restaurants, Grocery Stores",Bharuwala colony 4000 1073000.0 Female No Yes No Restaurants Grocery Stores
Jaligaon,7000,1486000.0,Female,No,No,Yes,"Transportation, Gym, Restaurants, Grocery Stores, Medical Shops",Jaligaon 7000 1486000.0 Female No No Yes Transportation Gym Restaurants Grocery Stores Medical Shops
Morowala,6900,1267000.0,Female,No,Yes,No,"Medical Shops, Transportation, Grocery Stores",Morowala 6900 1267000.0 Female No Yes No Medical Shops Transportation Grocery Stores
"Clement Town, Post Office Road, Lane No 10",7600,1497000.0,Female,Yes,No,Yes,Medical Shops,Clement Town Post Office Road Lane No 10 7600 1497000.0 Female Yes No Yes Medical Shops
Bharuwala colony,5400,1423000.0,Male,No,Yes,Yes,"Medical Shops, Gym",Bharuwala colony 5400 1423000.0 Male No Yes Yes Medical Shops Gym
"Clement Town, Post Office Road, Lane No 10",6000,1038000.0,Female,No,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Gym",Clement Town Post Office Road Lane No 10 6000 1038000.0 Female No Yes Yes Transportation Restaurants Grocery Stores Gym
Bharuwala colony,7600,1241000.0,Male,Yes,Yes,Yes,"Gym, Medical Shops, Grocery Stores, Transportation",Bharuwala colony 7600 1241000.0 Male Yes Yes Yes Gym Medical Shops Grocery Stores Transportation
Bell Road,7200,1125000.0,Female,No,Yes,Yes,"Grocery Stores, Transportation, Restaurants, Medical Shops",Bell Road 7200 1125000.0 Female No Yes Yes Grocery Stores Transportation Restaurants Medical Shops
"Clement Town, Post Office Road, Lane No 10",4200,1266000.0,Female,Yes,No,Yes,Grocery Stores,Clement Town Post Office Road Lane No 10 4200 1266000.0 Female Yes No Yes Grocery Stores
Manav Kendra,5300,1405000.0,Female,No,Yes,Yes,"Grocery Stores, Restaurants",Manav Kendra 5300 1405000.0 Female No Yes Yes Grocery Stores Restaurants
"Lane-3, Clement Town",4400,1248000.0,Female,Yes,Yes,Yes,"Gym, Transportation, Grocery Stores, Restaurants",Lane-3 Clement Town 4400 1248000.0 Female Yes Yes Yes Gym Transportation Grocery Stores Restaurants
Morowala,7800,1046000.0,Male,Yes,Yes,No,"Grocery Stores, Medical Shops",Morowala 7800 1046000.0 Male Yes Yes No Grocery Stores Medical Shops
Air Force Colony,4000,1467000.0,Male,No,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants",Air Force Colony 4000 1467000.0 Male No Yes No Gym Medical Shops Grocery Stores Restaurants
Sahastradhara,5500,1494000.0,Male,No,No,Yes,"Gym, Grocery Stores, Transportation, Medical Shops",Sahastradhara 5500 1494000.0 Male No No Yes Gym Grocery Stores Transportation Medical Shops
Mohabbewala,5700,1153000.0,Male,No,Yes,Yes,"Gym, Transportation, Medical Shops",Mohabbewala 5700 1153000.0 Male No Yes Yes Gym Transportation Medical Shops
"Lane-3, Clement Town",4500,1400000.0,Female,Yes,No,Yes,"Restaurants, Medical Shops, Grocery Stores",Lane-3 Clement Town 4500 1400000.0 Female Yes No Yes Restaurants Medical Shops Grocery Stores
"Subhash Nagar, Dehradun",5000,1442000.0,Male,No,No,Yes,"Medical Shops, Restaurants",Subhash Nagar Dehradun 5000 1442000.0 Male No No Yes Medical Shops Restaurants
Gurn Nanak Road,6500,1318000.0,Female,Yes,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Gym, Transportation",Gurn Nanak Road 6500 1318000.0 Female Yes Yes Yes Grocery Stores Restaurants Medical Shops Gym Transportation
"Lane-2, Clement Town",5600,1173000.0,Female,No,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants, Gym",Lane-2 Clement Town 5600 1173000.0 Female No No Yes Medical Shops Transportation Grocery Stores Restaurants Gym
"Lane-1, Clement Town",7100,1381000.0,Male,No,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation",Lane-1 Clement Town 7100 1381000.0 Male No Yes No Restaurants Grocery Stores Medical Shops Transportation
Morowala,5500,1227000.0,Female,No,No,Yes,"Medical Shops, Gym",Morowala 5500 1227000.0 Female No No Yes Medical Shops Gym
Tibetan Colony,5100,1333000.0,Female,No,No,Yes,"Transportation, Restaurants, Gym, Medical Shops",Tibetan Colony 5100 1333000.0 Female No No Yes Transportation Restaurants Gym Medical Shops
GK army Pre Primary School,4100,1297000.0,Female,No,No,Yes,"Grocery Stores, Restaurants, Gym, Transportation",GK army Pre Primary School 4100 1297000.0 Female No No Yes Grocery Stores Restaurants Gym Transportation
Morowala,4200,1411000.0,Male,No,No,Yes,Medical Shops,Morowala 4200 1411000.0 Male No No Yes Medical Shops
ISBT Road,4800,1473000.0,Female,No,Yes,No,"Restaurants, Medical Shops, Transportation",ISBT Road 4800 1473000.0 Female No Yes No Restaurants Medical Shops Transportation
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7300,1217000.0,Female,No,No,No,"Gym, Grocery Stores, Medical Shops",Lane No 2C Post Office Road Clement Town Dehradun 7300 1217000.0 Female No No No Gym Grocery Stores Medical Shops
Clement Town,5400,1296000.0,Male,Yes,No,Yes,Transportation,Clement Town 5400 1296000.0 Male Yes No Yes Transportation
Nehru Marg,5200,1330000.0,Female,No,Yes,Yes,"Transportation, Gym, Grocery Stores, Medical Shops, Restaurants",Nehru Marg 5200 1330000.0 Female No Yes Yes Transportation Gym Grocery Stores Medical Shops Restaurants
Shubhash Nagar,5300,1237000.0,Female,Yes,Yes,No,"Restaurants, Transportation, Medical Shops, Gym",Shubhash Nagar 5300 1237000.0 Female Yes Yes No Restaurants Transportation Medical Shops Gym
St Mary Church,4700,1235000.0,Male,Yes,No,No,Gym,St Mary Church 4700 1235000.0 Male Yes No No Gym
Subhash Nagar,4400,1126000.0,Female,Yes,No,No,"Grocery Stores, Medical Shops, Gym, Transportation, Restaurants",Subhash Nagar 4400 1126000.0 Female Yes No No Grocery Stores Medical Shops Gym Transportation Restaurants
St Mary Church,5900,1034000.0,Female,Yes,No,No,"Restaurants, Gym",St Mary Church 5900 1034000.0 Female Yes No No Restaurants Gym
"Subhash Nagar, Dehradun",7100,1391000.0,Female,Yes,No,Yes,"Gym, Transportation",Subhash Nagar Dehradun 7100 1391000.0 Female Yes No Yes Gym Transportation
Morowala,7800,1131000.0,Female,No,Yes,Yes,"Transportation, Restaurants, Medical Shops",Morowala 7800 1131000.0 Female No Yes Yes Transportation Restaurants Medical Shops
Mohabbewala,5600,1124000.0,Male,Yes,No,No,Gym,Mohabbewala 5600 1124000.0 Male Yes No No Gym
Manav Kendra,7400,1309000.0,Female,No,Yes,No,"Transportation, Restaurants",Manav Kendra 7400 1309000.0 Female No Yes No Transportation Restaurants
"Lane-10, Post Office Road",4700,1130000.0,Male,Yes,Yes,Yes,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation",Lane-10 Post Office Road 4700 1130000.0 Male Yes Yes Yes Restaurants Medical Shops Grocery Stores Gym Transportation
Sahastradhara,6500,1165000.0,Male,Yes,No,No,"Transportation, Medical Shops, Restaurants, Gym",Sahastradhara 6500 1165000.0 Male Yes No No Transportation Medical Shops Restaurants Gym
Jaligaon,7000,1437000.0,Male,Yes,Yes,Yes,"Gym, Grocery Stores, Restaurants, Medical Shops, Transportation",Jaligaon 7000 1437000.0 Male Yes Yes Yes Gym Grocery Stores Restaurants Medical Shops Transportation
St Mary Church,5400,1402000.0,Female,No,Yes,Yes,"Transportation, Gym",St Mary Church 5400 1402000.0 Female No Yes Yes Transportation Gym
Manav Kendra,4600,1465000.0,Male,Yes,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants",Manav Kendra 4600 1465000.0 Male Yes No Yes Gym Medical Shops Grocery Stores Transportation Restaurants
Manav Kendra,7900,1365000.0,Female,Yes,Yes,No,"Grocery Stores, Restaurants, Gym, Transportation, Medical Shops",Manav Kendra 7900 1365000.0 Female Yes Yes No Grocery Stores Restaurants Gym Transportation Medical Shops
Bharuwala colony,7300,1058000.0,Male,Yes,No,No,"Medical Shops, Restaurants",Bharuwala colony 7300 1058000.0 Male Yes No No Medical Shops Restaurants
"Lane-4, Clement Town",4200,1140000.0,Female,Yes,Yes,No,"Transportation, Medical Shops, Restaurants, Grocery Stores",Lane-4 Clement Town 4200 1140000.0 Female Yes Yes No Transportation Medical Shops Restaurants Grocery Stores
Bharuwala colony,8000,1141000.0,Female,No,No,No,"Transportation, Medical Shops, Grocery Stores",Bharuwala colony 8000 1141000.0 Female No No No Transportation Medical Shops Grocery Stores
Clement Town,7400,1384000.0,Male,Yes,No,Yes,Gym,Clement Town 7400 1384000.0 Male Yes No Yes Gym
Bharuwala colony,5600,1472000.0,Female,No,No,Yes,"Transportation, Gym, Restaurants, Grocery Stores",Bharuwala colony 5600 1472000.0 Female No No Yes Transportation Gym Restaurants Grocery Stores
"Lane-4, Clement Town",6800,1368000.0,Male,No,Yes,Yes,Grocery Stores,Lane-4 Clement Town 6800 1368000.0 Male No Yes Yes Grocery Stores
Nehru Marg,5300,1309000.0,Female,Yes,Yes,No,"Grocery Stores, Medical Shops, Restaurants, Gym",Nehru Marg 5300 1309000.0 Female Yes Yes No Grocery Stores Medical Shops Restaurants Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5300,1051000.0,Male,Yes,No,No,Restaurants,Lane No 2C Post Office Road Clement Town Dehradun 5300 1051000.0 Male Yes No No Restaurants
Shubhash Nagar,7200,1390000.0,Male,No,Yes,No,"Restaurants, Transportation",Shubhash Nagar 7200 1390000.0 Male No Yes No Restaurants Transportation
Jaligaon,7300,1222000.0,Female,Yes,Yes,Yes,Transportation,Jaligaon 7300 1222000.0 Female Yes Yes Yes Transportation
ISBT Road,7900,1159000.0,Male,Yes,No,No,"Transportation, Restaurants, Grocery Stores",ISBT Road 7900 1159000.0 Male Yes No No Transportation Restaurants Grocery Stores
Air Force Colony,7400,1470000.0,Female,Yes,Yes,Yes,"Transportation, Medical Shops",Air Force Colony 7400 1470000.0 Female Yes Yes Yes Transportation Medical Shops
Manav Kendra,6000,1274000.0,Male,Yes,No,Yes,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops",Manav Kendra 6000 1274000.0 Male Yes No Yes Grocery Stores Gym Restaurants Transportation Medical Shops
Jaligaon,7700,1173000.0,Female,Yes,Yes,No,Grocery Stores,Jaligaon 7700 1173000.0 Female Yes Yes No Grocery Stores
"Subhash Nagar, Dehradun",4100,1249000.0,Male,No,Yes,Yes,"Gym, Restaurants",Subhash Nagar Dehradun 4100 1249000.0 Male No Yes Yes Gym Restaurants
"Lane-4, Clement Town",4500,1151000.0,Male,No,Yes,Yes,"Transportation, Grocery Stores",Lane-4 Clement Town 4500 1151000.0 Male No Yes Yes Transportation Grocery Stores
Gurn Nanak Road,6300,1239000.0,Male,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Transportation, Gym",Gurn Nanak Road 6300 1239000.0 Male Yes Yes Yes Grocery Stores Medical Shops Transportation Gym
Pant Road,6700,1168000.0,Female,No,Yes,No,Restaurants,Pant Road 6700 1168000.0 Female No Yes No Restaurants
Manav Kendra,8000,1410000.0,Male,Yes,No,No,Transportation,Manav Kendra 8000 1410000.0 Male Yes No No Transportation
Bharuwala colony,7500,1224000.0,Male,No,Yes,No,"Medical Shops, Grocery Stores, Transportation",Bharuwala colony 7500 1224000.0 Male No Yes No Medical Shops Grocery Stores Transportation
Pant Road,4200,1036000.0,Male,No,No,Yes,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops",Pant Road 4200 1036000.0 Male No No Yes Gym Transportation Grocery Stores Restaurants Medical Shops
GK army Pre Primary School,7400,1107000.0,Female,Yes,Yes,No,"Restaurants, Medical Shops",GK army Pre Primary School 7400 1107000.0 Female Yes Yes No Restaurants Medical Shops
"Subhash Nagar, Dehradun",6100,1385000.0,Male,Yes,Yes,Yes,Transportation,Subhash Nagar Dehradun 6100 1385000.0 Male Yes Yes Yes Transportation
"Lane-10, Post Office Road",5400,1209000.0,Male,Yes,Yes,No,Grocery Stores,Lane-10 Post Office Road 5400 1209000.0 Male Yes Yes No Grocery Stores
"Lane-1, Clement Town",7700,1109000.0,Male,No,No,Yes,"Transportation, Medical Shops, Grocery Stores",Lane-1 Clement Town 7700 1109000.0 Male No No Yes Transportation Medical Shops Grocery Stores
Morowala,6900,1278000.0,Male,No,Yes,No,Restaurants,Morowala 6900 1278000.0 Male No Yes No Restaurants
Gurn Nanak Road,7800,1425000.0,Female,No,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants",Gurn Nanak Road 7800 1425000.0 Female No No No Medical Shops Gym Grocery Stores Restaurants
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4700,1004000.0,Male,No,No,No,Transportation,Lane No 2C Post Office Road Clement Town Dehradun 4700 1004000.0 Male No No No Transportation
Clement Town,6500,1012000.0,Male,Yes,No,Yes,"Restaurants, Grocery Stores, Medical Shops",Clement Town 6500 1012000.0 Male Yes No Yes Restaurants Grocery Stores Medical Shops
Tibetan Colony,5900,1006000.0,Female,Yes,Yes,Yes,"Medical Shops, Gym, Grocery Stores",Tibetan Colony 5900 1006000.0 Female Yes Yes Yes Medical Shops Gym Grocery Stores
Air Force Colony,6200,1235000.0,Female,Yes,Yes,No,"Medical Shops, Grocery Stores",Air Force Colony 6200 1235000.0 Female Yes Yes No Medical Shops Grocery Stores
Bharuwala colony,6600,1425000.0,Female,Yes,Yes,Yes,Restaurants,Bharuwala colony 6600 1425000.0 Female Yes Yes Yes Restaurants
"Lane-3, Clement Town",8000,1201000.0,Female,Yes,No,Yes,"Medical Shops, Transportation, Gym",Lane-3 Clement Town 8000 1201000.0 Female Yes No Yes Medical Shops Transportation Gym
St Mary Church,6800,1189000.0,Male,No,Yes,No,"Restaurants, Gym, Grocery Stores",St Mary Church 6800 1189000.0 Male No Yes No Restaurants Gym Grocery Stores
Morowala,6300,1315000.0,Female,No,No,No,Grocery Stores,Morowala 6300 1315000.0 Female No No No Grocery Stores
"Lane-1, Clement Town",4400,1156000.0,Female,Yes,No,Yes,Restaurants,Lane-1 Clement Town 4400 1156000.0 Female Yes No Yes Restaurants
Nehru Marg,6100,1082000.0,Female,No,No,Yes,"Medical Shops, Grocery Stores, Transportation, Gym, Restaurants",Nehru Marg 6100 1082000.0 Female No No Yes Medical Shops Grocery Stores Transportation Gym Restaurants
"Lane-10, Post Office Road",7500,1253000.0,Male,No,Yes,No,Medical Shops,Lane-10 Post Office Road 7500 1253000.0 Male No Yes No Medical Shops
Sahastradhara,5000,1245000.0,Male,Yes,Yes,Yes,Grocery Stores,Sahastradhara 5000 1245000.0 Male Yes Yes Yes Grocery Stores
Bell Road,6200,1360000.0,Male,No,Yes,Yes,"Medical Shops, Restaurants, Gym, Grocery Stores",Bell Road 6200 1360000.0 Male No Yes Yes Medical Shops Restaurants Gym Grocery Stores
"Lane-10, Post Office Road",5500,1134000.0,Male,Yes,Yes,Yes,"Restaurants, Medical Shops, Gym",Lane-10 Post Office Road 5500 1134000.0 Male Yes Yes Yes Restaurants Medical Shops Gym
Subhash Nagar,4000,1168000.0,Male,Yes,No,Yes,"Gym, Transportation",Subhash Nagar 4000 1168000.0 Male Yes No Yes Gym Transportation
GK army Pre Primary School,5900,1071000.0,Female,No,Yes,Yes,"Gym, Grocery Stores, Medical Shops, Transportation, Restaurants",GK army Pre Primary School 5900 1071000.0 Female No Yes Yes Gym Grocery Stores Medical Shops Transportation Restaurants
Bell Road,4500,1411000.0,Male,Yes,No,Yes,"Transportation, Medical Shops",Bell Road 4500 1411000.0 Male Yes No Yes Transportation Medical Shops
ISBT Road,7000,1415000.0,Male,Yes,No,Yes,"Grocery Stores, Transportation, Restaurants, Medical Shops, Gym",ISBT Road 7000 1415000.0 Male Yes No Yes Grocery Stores Transportation Restaurants Medical Shops Gym
"Lane-1, Clement Town",7600,1479000.0,Female,No,Yes,No,"Restaurants, Gym",Lane-1 Clement Town 7600 1479000.0 Female No Yes No Restaurants Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4700,1461000.0,Male,Yes,No,Yes,"Transportation, Medical Shops, Gym, Grocery Stores, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 4700 1461000.0 Male Yes No Yes Transportation Medical Shops Gym Grocery Stores Restaurants
"Lane-10, Post Office Road",6700,1087000.0,Female,Yes,No,No,"Gym, Transportation, Medical Shops",Lane-10 Post Office Road 6700 1087000.0 Female Yes No No Gym Transportation Medical Shops
Jaligaon,6400,1228000.0,Female,No,Yes,No,"Transportation, Gym, Restaurants, Grocery Stores",Jaligaon 6400 1228000.0 Female No Yes No Transportation Gym Restaurants Grocery Stores
St Mary Church,6000,1297000.0,Male,No,No,Yes,"Gym, Transportation, Grocery Stores",St Mary Church 6000 1297000.0 Male No No Yes Gym Transportation Grocery Stores
"Lane-4, Clement Town",5500,1317000.0,Female,Yes,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants, Transportation",Lane-4 Clement Town 5500 1317000.0 Female Yes No No Medical Shops Gym Grocery Stores Restaurants Transportation
"Subhash Nagar, Dehradun",4200,1344000.0,Male,Yes,No,Yes,"Restaurants, Gym",Subhash Nagar Dehradun 4200 1344000.0 Male Yes No Yes Restaurants Gym
Bell Road,7800,1039000.0,Female,No,Yes,No,"Gym, Transportation, Medical Shops, Grocery Stores",Bell Road 7800 1039000.0 Female No Yes No Gym Transportation Medical Shops Grocery Stores
Pant Road,7200,1025000.0,Male,Yes,No,No,"Restaurants, Transportation, Gym, Grocery Stores, Medical Shops",Pant Road 7200 1025000.0 Male Yes No No Restaurants Transportation Gym Grocery Stores Medical Shops
Gurn Nanak Road,6500,1268000.0,Female,No,No,No,"Grocery Stores, Transportation, Restaurants",Gurn Nanak Road 6500 1268000.0 Female No No No Grocery Stores Transportation Restaurants
Nehru Marg,5600,1046000.0,Female,Yes,No,Yes,"Medical Shops, Restaurants, Transportation",Nehru Marg 5600 1046000.0 Female Yes No Yes Medical Shops Restaurants Transportation
"Lane-3, Clement Town",4300,1269000.0,Female,No,No,Yes,"Grocery Stores, Gym",Lane-3 Clement Town 4300 1269000.0 Female No No Yes Grocery Stores Gym
ISBT Road,6300,1232000.0,Female,No,No,Yes,"Gym, Medical Shops, Transportation, Restaurants",ISBT Road 6300 1232000.0 Female No No Yes Gym Medical Shops Transportation Restaurants
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4000,1024000.0,Female,Yes,No,Yes,"Transportation, Gym, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 4000 1024000.0 Female Yes No Yes Transportation Gym Restaurants
"Lane-3, Clement Town",4700,1106000.0,Male,No,No,Yes,"Grocery Stores, Restaurants",Lane-3 Clement Town 4700 1106000.0 Male No No Yes Grocery Stores Restaurants
Subhash Nagar,7500,1160000.0,Female,No,No,No,"Gym, Medical Shops, Restaurants, Grocery Stores, Transportation",Subhash Nagar 7500 1160000.0 Female No No No Gym Medical Shops Restaurants Grocery Stores Transportation
Gurn Nanak Road,7900,1492000.0,Male,No,Yes,Yes,"Medical Shops, Restaurants, Transportation, Grocery Stores, Gym",Gurn Nanak Road 7900 1492000.0 Male No Yes Yes Medical Shops Restaurants Transportation Grocery Stores Gym
Shubhash Nagar,6000,1171000.0,Male,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Transportation",Shubhash Nagar 6000 1171000.0 Male Yes Yes Yes Grocery Stores Medical Shops Transportation
"Subhash Nagar, Dehradun",4900,1425000.0,Female,Yes,Yes,No,"Restaurants, Gym, Transportation, Grocery Stores",Subhash Nagar Dehradun 4900 1425000.0 Female Yes Yes No Restaurants Gym Transportation Grocery Stores
"Lane-1, Clement Town",6100,1463000.0,Male,No,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops",Lane-1 Clement Town 6100 1463000.0 Male No Yes Yes Grocery Stores Restaurants Medical Shops
Gurn Nanak Road,4300,1244000.0,Female,Yes,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation",Gurn Nanak Road 4300 1244000.0 Female Yes No Yes Gym Medical Shops Grocery Stores Transportation
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5400,1072000.0,Female,Yes,Yes,Yes,"Grocery Stores, Restaurants, Transportation",Lane No 2C Post Office Road Clement Town Dehradun 5400 1072000.0 Female Yes Yes Yes Grocery Stores Restaurants Transportation
"Clement Town, Post Office Road, Lane No 10",4600,1208000.0,Male,Yes,No,Yes,Grocery Stores,Clement Town Post Office Road Lane No 10 4600 1208000.0 Male Yes No Yes Grocery Stores
St Mary Church,7600,1427000.0,Female,No,No,No,"Transportation, Restaurants, Grocery Stores, Gym",St Mary Church 7600 1427000.0 Female No No No Transportation Restaurants Grocery Stores Gym
"Lane-10, Post Office Road",7800,1291000.0,Male,Yes,No,No,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation",Lane-10 Post Office Road 7800 1291000.0 Male Yes No No Gym Grocery Stores Medical Shops Restaurants Transportation
"Lane-10, Post Office Road",7600,1096000.0,Male,Yes,No,Yes,Medical Shops,Lane-10 Post Office Road 7600 1096000.0 Male Yes No Yes Medical Shops
Mohabbewala,4600,1007000.0,Male,No,Yes,No,"Medical Shops, Restaurants, Transportation, Gym",Mohabbewala 4600 1007000.0 Male No Yes No Medical Shops Restaurants Transportation Gym
Bharuwala colony,7900,1022000.0,Male,Yes,No,Yes,Restaurants,Bharuwala colony 7900 1022000.0 Male Yes No Yes Restaurants
St Mary Church,4500,1227000.0,Female,Yes,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation, Medical Shops",St Mary Church 4500 1227000.0 Female Yes Yes No Gym Restaurants Grocery Stores Transportation Medical Shops
Clement Town,5400,1387000.0,Male,Yes,Yes,Yes,"Medical Shops, Restaurants, Gym, Transportation, Grocery Stores",Clement Town 5400 1387000.0 Male Yes Yes Yes Medical Shops Restaurants Gym Transportation Grocery Stores
"Lane-1, Clement Town",7100,1058000.0,Male,No,Yes,Yes,"Restaurants, Medical Shops, Transportation, Grocery Stores, Gym",Lane-1 Clement Town 7100 1058000.0 Male No Yes Yes Restaurants Medical Shops Transportation Grocery Stores Gym
Gurn Nanak Road,4900,1167000.0,Male,No,Yes,Yes,"Transportation, Restaurants",Gurn Nanak Road 4900 1167000.0 Male No Yes Yes Transportation Restaurants
"Subhash Nagar, Dehradun",7100,1496000.0,Male,Yes,Yes,Yes,Grocery Stores,Subhash Nagar Dehradun 7100 1496000.0 Male Yes Yes Yes Grocery Stores
Manav Kendra,4200,1093000.0,Male,No,Yes,Yes,"Medical Shops, Gym, Restaurants, Grocery Stores, Transportation",Manav Kendra 4200 1093000.0 Male No Yes Yes Medical Shops Gym Restaurants Grocery Stores Transportation
St Mary Church,4200,1237000.0,Female,No,No,No,"Gym, Medical Shops",St Mary Church 4200 1237000.0 Female No No No Gym Medical Shops
"Lane-10, Post Office Road",6600,1370000.0,Male,No,No,Yes,"Gym, Medical Shops, Transportation",Lane-10 Post Office Road 6600 1370000.0 Male No No Yes Gym Medical Shops Transportation
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4500,1150000.0,Female,No,No,No,"Grocery Stores, Medical Shops, Transportation, Gym",Lane No 2C Post Office Road Clement Town Dehradun 4500 1150000.0 Female No No No Grocery Stores Medical Shops Transportation Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5300,1444000.0,Female,No,Yes,No,"Transportation, Grocery Stores, Medical Shops",Lane No 2C Post Office Road Clement Town Dehradun 5300 1444000.0 Female No Yes No Transportation Grocery Stores Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7500,1109000.0,Female,Yes,Yes,No,Restaurants,Lane No 2C Post Office Road Clement Town Dehradun 7500 1109000.0 Female Yes Yes No Restaurants
St Mary Church,4800,1338000.0,Male,No,No,No,"Grocery Stores, Gym, Medical Shops, Restaurants",St Mary Church 4800 1338000.0 Male No No No Grocery Stores Gym Medical Shops Restaurants
Morowala,6100,1464000.0,Female,Yes,Yes,No,Transportation,Morowala 6100 1464000.0 Female Yes Yes No Transportation
"Lane-10, Post Office Road",4700,1337000.0,Male,No,No,Yes,"Grocery Stores, Restaurants, Medical Shops",Lane-10 Post Office Road 4700 1337000.0 Male No No Yes Grocery Stores Restaurants Medical Shops
Manav Kendra,7800,1140000.0,Female,No,No,No,"Grocery Stores, Gym",Manav Kendra 7800 1140000.0 Female No No No Grocery Stores Gym
Jaligaon,7500,1135000.0,Female,No,Yes,No,"Transportation, Gym, Grocery Stores, Medical Shops",Jaligaon 7500 1135000.0 Female No Yes No Transportation Gym Grocery Stores Medical Shops
"Lane-1, Clement Town",4600,1300000.0,Male,Yes,No,No,"Medical Shops, Gym, Restaurants, Grocery Stores",Lane-1 Clement Town 4600 1300000.0 Male Yes No No Medical Shops Gym Restaurants Grocery Stores
"Clement Town, Post Office Road, Lane No 10",6600,1041000.0,Female,Yes,No,No,Transportation,Clement Town Post Office Road Lane No 10 6600 1041000.0 Female Yes No No Transportation
"Lane-4, Clement Town",7600,1007000.0,Female,Yes,Yes,Yes,"Medical Shops, Gym, Transportation, Restaurants, Grocery Stores",Lane-4 Clement Town 7600 1007000.0 Female Yes Yes Yes Medical Shops Gym Transportation Restaurants Grocery Stores
"Lane-4, Clement Town",4800,1390000.0,Female,No,No,Yes,"Restaurants, Grocery Stores, Gym, Transportation",Lane-4 Clement Town 4800 1390000.0 Female No No Yes Restaurants Grocery Stores Gym Transportation
Sahastradhara,7700,1399000.0,Female,Yes,Yes,No,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops",Sahastradhara 7700 1399000.0 Female Yes Yes No Gym Transportation Grocery Stores Restaurants Medical Shops
Bharuwala colony,5900,1121000.0,Female,No,No,No,"Transportation, Restaurants, Gym",Bharuwala colony 5900 1121000.0 Female No No No Transportation Restaurants Gym
Bell Road,7000,1231000.0,Male,Yes,Yes,Yes,"Grocery Stores, Gym, Medical Shops",Bell Road 7000 1231000.0 Male Yes Yes Yes Grocery Stores Gym Medical Shops
ISBT Road,5000,1231000.0,Female,No,Yes,No,"Transportation, Gym, Grocery Stores, Medical Shops",ISBT Road 5000 1231000.0 Female No Yes No Transportation Gym Grocery Stores Medical Shops
Jaligaon,7400,1114000.0,Male,No,Yes,No,"Medical Shops, Grocery Stores, Transportation, Restaurants, Gym",Jaligaon 7400 1114000.0 Male No Yes No Medical Shops Grocery Stores Transportation Restaurants Gym
"Lane-3, Clement Town",5500,1281000.0,Male,Yes,Yes,Yes,"Transportation, Grocery Stores",Lane-3 Clement Town 5500 1281000.0 Male Yes Yes Yes Transportation Grocery Stores
"Lane-4, Clement Town",7100,1072000.0,Female,No,Yes,No,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops",Lane-4 Clement Town 7100 1072000.0 Female No Yes No Gym Restaurants Transportation Grocery Stores Medical Shops
