Location,Rent (INR),Distance from College (km),Gender,WiFi,Distance from College (m),Food Availability,Parking Availability,Amenities
ISBT Road,6609,3.3,Female,Yes,,No,Yes,"Medical Shops, Restaurants, Grocery Stores, Gym, Transportation"
Clement Town,5565,2.7,Female,Yes,,No,Yes,"Grocery Stores, Medical Shops, Transportation"
Air Force Colony,11840,6.0,Female,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym"
"Lane-2, Clement Town",9391,2.9,Female,Yes,,No,Yes,"Transportation, Gym"
"Subhash Nagar, Dehradun",7128,5.3,Female,Yes,,No,Yes,"Medical Shops, Restaurants, Gym, Transportation"
"Lane-3, Clement Town",10614,3.3,Female,No,,No,Yes,"Gym, Grocery Stores"
"Lane-1, Clement Town",8966,2.8,Male,Yes,,Yes,Yes,"Transportation, Gym, Restaurants"
"Lane-10, Post Office Road",6181,4.2,Male,Yes,,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5689,4.1,Male,Yes,,No,No,"Transportation, Restaurants, Medical Shops, Gym, Grocery Stores"
Jaligaon,9354,7.5,Female,No,,Yes,No,"Restaurants, Grocery Stores, Gym, Medical Shops, Transportation"
Shubhash Nagar,3131,5.4,Female,Yes,,Yes,No,"Transportation, Restaurants, Medical Shops"
St Mary Church,4653,4.4,Male,No,,No,No,"Medical Shops, Restaurants, Gym, Transportation"
Tibetan Colony,12898,6.8,Male,No,,No,Yes,"Medical Shops, Transportation"
Pant Road,5184,6.4,Female,No,,Yes,No,"Transportation, Grocery Stores, Gym, Medical Shops, Restaurants"
Clement Town,8505,2.7,Male,Yes,,Yes,No,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants"
Pant Road,11080,6.4,Female,No,,No,No,"Grocery Stores, Gym, Transportation, Restaurants"
Gurn Nanak Road,5282,5.0,Male,No,,Yes,Yes,"Gym, Medical Shops, Transportation, Restaurants, Grocery Stores"
Shubhash Nagar,7344,5.4,Male,No,,Yes,No,Restaurants
Manav Kendra,5468,3.9,Female,Yes,,Yes,No,"Medical Shops, Transportation, Gym"
Sahastradhara,5001,9.5,Male,Yes,,No,Yes,"Grocery Stores, Transportation, Medical Shops, Restaurants, Gym"
Pant Road,6383,6.4,Female,No,,Yes,Yes,"Gym, Medical Shops"
Sahastradhara,10345,9.5,Female,No,,No,No,"Grocery Stores, Transportation"
Jaligaon,3270,7.5,Male,Yes,,Yes,No,"Restaurants, Gym, Grocery Stores, Medical Shops, Transportation"
Clement Town,11739,2.7,Male,No,,Yes,No,"Grocery Stores, Medical Shops, Gym, Restaurants"
Gurn Nanak Road,7359,5.0,Male,Yes,,Yes,No,"Transportation, Medical Shops, Grocery Stores, Restaurants, Gym"
Subhash Nagar,9369,5.0,Male,No,,Yes,No,"Medical Shops, Gym"
Pant Road,11316,6.4,Female,Yes,,Yes,Yes,"Medical Shops, Grocery Stores"
"Lane-1, Clement Town",4484,2.8,Male,No,,Yes,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
"Lane-2, Clement Town",11424,2.9,Female,No,,Yes,No,"Transportation, Grocery Stores"
Subhash Nagar,7691,5.0,Female,Yes,,Yes,No,"Gym, Restaurants"
Nehru Marg,5236,5.7,Male,Yes,,Yes,Yes,"Medical Shops, Transportation, Restaurants, Gym"
Morowala,6271,7.0,Female,No,,Yes,Yes,"Grocery Stores, Transportation, Restaurants, Medical Shops"
"Subhash Nagar, Dehradun",7972,5.3,Male,Yes,,Yes,Yes,"Gym, Medical Shops, Restaurants"
Bell Road,6374,5.8,Female,No,,No,No,"Gym, Medical Shops"
Jaligaon,6863,7.5,Male,Yes,,No,Yes,"Restaurants, Gym"
"Subhash Nagar, Dehradun",4223,5.3,Female,No,,Yes,Yes,"Restaurants, Medical Shops"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",9817,4.1,Female,No,,Yes,No,"Transportation, Grocery Stores, Medical Shops, Restaurants"
Bell Road,4730,5.8,Female,No,,No,No,"Transportation, Gym, Medical Shops, Restaurants, Grocery Stores"
"Lane-10, Post Office Road",5749,4.2,Male,No,,No,No,"Gym, Transportation, Grocery Stores, Medical Shops, Restaurants"
Shubhash Nagar,8912,5.4,Male,Yes,,No,No,"Medical Shops, Restaurants"
Bharuwala colony,8215,6.2,Female,No,,No,Yes,"Grocery Stores, Gym, Restaurants"
Bell Road,5109,5.8,Male,No,,Yes,Yes,"Transportation, Medical Shops, Restaurants"
Mohabbewala,7974,8.2,Female,No,,No,Yes,"Restaurants, Medical Shops, Gym"
Jaligaon,5312,7.5,Female,No,,No,No,"Medical Shops, Gym"
Sahastradhara,6394,9.5,Female,Yes,,No,No,"Restaurants, Grocery Stores, Medical Shops, Gym"
Clement Town,8267,2.7,Male,No,,No,Yes,Transportation
Nehru Marg,7005,5.7,Female,No,,Yes,No,"Medical Shops, Restaurants"
"Lane-10, Post Office Road",4808,4.2,Female,Yes,,No,No,"Transportation, Grocery Stores, Medical Shops, Restaurants, Gym"
Pant Road,5610,6.4,Female,No,,No,No,"Transportation, Restaurants, Gym, Medical Shops"
Shubhash Nagar,3259,5.4,Female,No,,Yes,Yes,"Transportation, Grocery Stores"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",8632,4.1,Female,No,,Yes,No,"Restaurants, Grocery Stores, Gym"
"Lane-4, Clement Town",5052,3.5,Male,Yes,,Yes,No,"Grocery Stores, Restaurants"
St Mary Church,9794,4.4,Male,No,,No,Yes,"Grocery Stores, Transportation, Gym, Medical Shops"
"Lane-3, Clement Town",3085,3.3,Male,Yes,,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants, Gym"
"Lane-2, Clement Town",10548,2.9,Female,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Transportation, Restaurants, Gym"
St Mary Church,12026,4.4,Female,Yes,,Yes,Yes,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops"
Air Force Colony,7441,6.0,Female,No,,Yes,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym"
St Mary Church,7581,4.4,Female,No,,No,No,"Gym, Restaurants"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6408,4.1,Female,Yes,,No,No,Transportation
Pant Road,7257,6.4,Female,No,,Yes,Yes,"Restaurants, Medical Shops, Gym"
Manav Kendra,6483,3.9,Male,No,,No,No,"Gym, Restaurants, Grocery Stores"
"Lane-4, Clement Town",7684,3.5,Female,Yes,,No,Yes,Restaurants
"Clement Town, Post Office Road, Lane No 10",3659,4.0,Female,No,,No,No,"Grocery Stores, Gym, Transportation"
Manav Kendra,5370,3.9,Female,No,,No,No,Medical Shops
Subhash Nagar,9996,5.0,Male,No,,No,No,"Gym, Medical Shops, Transportation, Grocery Stores"
Subhash Nagar,11353,5.0,Male,Yes,,No,No,"Restaurants, Medical Shops"
"Subhash Nagar, Dehradun",12551,5.3,Male,Yes,,No,Yes,"Transportation, Gym, Restaurants"
Subhash Nagar,4447,5.0,Male,No,,Yes,No,"Grocery Stores, Medical Shops, Transportation, Gym, Restaurants"
Gurn Nanak Road,8670,5.0,Female,No,,No,Yes,Transportation
"Subhash Nagar, Dehradun",9272,5.3,Female,No,,No,Yes,Medical Shops
Nehru Marg,11778,5.7,Female,No,,Yes,No,"Grocery Stores, Restaurants, Transportation"
Gurn Nanak Road,11200,5.0,Female,Yes,,No,Yes,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores"
Bharuwala colony,4070,6.2,Male,Yes,,Yes,Yes,Restaurants
"Lane No 2C, Post Office Road, Clement Town, Dehradun",8157,4.1,Male,Yes,,No,No,"Medical Shops, Transportation, Gym, Grocery Stores"
"Lane-10, Post Office Road",10852,4.2,Male,No,,No,Yes,"Medical Shops, Restaurants, Grocery Stores, Gym, Transportation"
St Mary Church,8861,4.4,Female,Yes,,Yes,Yes,"Medical Shops, Grocery Stores"
Jaligaon,10022,7.5,Female,No,,Yes,No,"Restaurants, Grocery Stores, Gym, Medical Shops, Transportation"
"Lane-1, Clement Town",8312,2.8,Female,Yes,,Yes,No,Gym
"Lane-10, Post Office Road",7897,4.2,Male,Yes,,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation"
Shubhash Nagar,12340,5.4,Female,No,,Yes,No,"Gym, Grocery Stores, Restaurants"
"Lane-1, Clement Town",7632,2.8,Male,Yes,,Yes,No,"Transportation, Grocery Stores, Gym, Medical Shops"
"Lane-4, Clement Town",7852,3.5,Male,No,,Yes,Yes,"Grocery Stores, Transportation"
Bharuwala colony,11296,6.2,Female,No,,No,Yes,"Transportation, Grocery Stores"
"Lane-4, Clement Town",11781,3.5,Female,No,,Yes,No,"Transportation, Medical Shops, Grocery Stores, Restaurants"
Sahastradhara,4826,9.5,Female,Yes,,Yes,No,"Grocery Stores, Restaurants, Medical Shops, Transportation"
"Lane-10, Post Office Road",10799,4.2,Female,No,,Yes,Yes,"Gym, Grocery Stores, Transportation, Restaurants"
Tibetan Colony,3525,6.8,Male,Yes,,No,Yes,Restaurants
"Lane-10, Post Office Road",7131,4.2,Female,Yes,,No,No,"Medical Shops, Transportation, Gym, Restaurants"
Manav Kendra,4922,3.9,Male,Yes,,No,Yes,Grocery Stores
Gurn Nanak Road,6454,5.0,Male,No,,Yes,No,"Restaurants, Transportation, Gym, Medical Shops, Grocery Stores"
Jaligaon,8368,7.5,Female,Yes,,No,No,"Restaurants, Grocery Stores, Medical Shops"
Mohabbewala,3727,8.2,Female,Yes,,No,Yes,"Gym, Transportation, Restaurants"
Manav Kendra,10520,3.9,Female,No,,No,No,Gym
"Clement Town, Post Office Road, Lane No 10",7277,4.0,Female,Yes,,No,No,Transportation
Shubhash Nagar,11445,5.4,Female,Yes,,No,Yes,Gym
Morowala,4401,7.0,Female,No,,No,Yes,Gym
Nehru Marg,5112,5.7,Male,Yes,,No,No,"Restaurants, Transportation, Medical Shops, Grocery Stores, Gym"
"Lane-1, Clement Town",7871,2.8,Female,No,,No,No,Transportation
Bharuwala colony,11575,6.2,Male,Yes,,Yes,Yes,"Gym, Transportation, Medical Shops, Restaurants"
St Mary Church,9131,4.4,Male,No,,Yes,Yes,Medical Shops
Gurn Nanak Road,5825,5.0,Male,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym"
Manav Kendra,10951,3.9,Female,No,,No,Yes,"Restaurants, Gym, Transportation"
GK army Pre Primary School,5421,4.6,Male,Yes,,Yes,Yes,Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7659,4.1,Male,Yes,,No,Yes,Restaurants
"Subhash Nagar, Dehradun",9397,5.3,Male,Yes,,Yes,Yes,"Medical Shops, Grocery Stores, Restaurants, Transportation"
Tibetan Colony,5417,6.8,Female,No,,Yes,No,"Gym, Grocery Stores, Medical Shops"
Gurn Nanak Road,11690,5.0,Female,No,,Yes,Yes,"Medical Shops, Gym, Restaurants, Transportation, Grocery Stores"
"Subhash Nagar, Dehradun",8284,5.3,Male,No,,No,Yes,"Medical Shops, Grocery Stores, Transportation, Restaurants"
Air Force Colony,6894,6.0,Female,Yes,,No,Yes,"Grocery Stores, Medical Shops"
"Lane-1, Clement Town",3090,2.8,Female,Yes,,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation, Gym"
St Mary Church,6162,4.4,Female,No,,Yes,No,"Gym, Restaurants, Medical Shops"
Clement Town,8380,2.7,Male,No,,No,No,"Gym, Medical Shops, Transportation, Restaurants, Grocery Stores"
Bell Road,5476,5.8,Male,No,,Yes,No,"Medical Shops, Transportation, Gym"
Clement Town,12696,2.7,Male,No,,No,No,"Gym, Restaurants, Transportation, Medical Shops"
Bell Road,5711,5.8,Female,No,,No,Yes,"Restaurants, Grocery Stores"
Bell Road,5959,5.8,Female,No,,Yes,No,"Transportation, Gym"
St Mary Church,4069,4.4,Male,No,,No,No,"Medical Shops, Grocery Stores, Restaurants"
"Lane-1, Clement Town",6722,2.8,Female,Yes,,No,No,Medical Shops
Mohabbewala,4010,8.2,Female,Yes,,No,No,"Transportation, Medical Shops, Grocery Stores, Gym, Restaurants"
Bell Road,6579,5.8,Female,No,,Yes,No,"Grocery Stores, Restaurants"
Shubhash Nagar,3346,5.4,Male,No,,No,No,"Transportation, Restaurants, Gym, Grocery Stores"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",3617,4.1,Male,Yes,,Yes,Yes,"Restaurants, Medical Shops, Transportation, Gym"
GK army Pre Primary School,6059,4.6,Male,Yes,,No,No,"Restaurants, Medical Shops"
Clement Town,11459,2.7,Female,Yes,,No,No,"Grocery Stores, Gym, Medical Shops"
"Lane-1, Clement Town",12299,2.8,Female,No,,No,Yes,"Restaurants, Medical Shops"
GK army Pre Primary School,11300,4.6,Male,Yes,,No,Yes,"Restaurants, Grocery Stores, Gym, Medical Shops"
Pant Road,7033,6.4,Male,Yes,,No,No,"Grocery Stores, Gym, Transportation"
"Subhash Nagar, Dehradun",12400,5.3,Male,Yes,,Yes,No,"Grocery Stores, Transportation, Gym, Restaurants, Medical Shops"
"Lane-10, Post Office Road",8156,4.2,Female,No,,No,Yes,"Gym, Transportation, Grocery Stores, Medical Shops"
"Lane-10, Post Office Road",12799,4.2,Male,No,,Yes,No,"Grocery Stores, Medical Shops, Restaurants, Gym"
Jaligaon,11311,7.5,Male,Yes,,Yes,No,"Grocery Stores, Restaurants, Transportation"
Nehru Marg,10696,5.7,Male,Yes,,No,No,"Medical Shops, Restaurants"
Tibetan Colony,12330,6.8,Female,No,,No,Yes,"Gym, Restaurants, Transportation"
Bell Road,6230,5.8,Male,Yes,,Yes,Yes,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops"
"Lane-4, Clement Town",6265,3.5,Female,No,,No,Yes,"Medical Shops, Restaurants, Gym"
"Clement Town, Post Office Road, Lane No 10",9199,4.0,Female,Yes,,No,Yes,"Gym, Grocery Stores, Restaurants, Transportation, Medical Shops"
Mohabbewala,5021,8.2,Female,No,,Yes,Yes,"Medical Shops, Restaurants, Gym, Transportation"
Gurn Nanak Road,6592,5.0,Male,No,,No,No,"Medical Shops, Restaurants, Grocery Stores"
Tibetan Colony,11537,6.8,Female,Yes,,No,No,"Medical Shops, Grocery Stores, Restaurants, Transportation, Gym"
Clement Town,3588,2.7,Female,No,,Yes,No,"Restaurants, Transportation, Gym, Grocery Stores"
Sahastradhara,8950,9.5,Female,Yes,,No,Yes,Transportation
"Lane-1, Clement Town",4153,2.8,Female,No,,No,No,"Restaurants, Medical Shops"
Shubhash Nagar,8065,5.4,Female,Yes,,Yes,No,Grocery Stores
Pant Road,5522,6.4,Male,Yes,,Yes,Yes,Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",8183,4.1,Female,No,,No,No,"Grocery Stores, Transportation"
Gurn Nanak Road,3482,5.0,Female,Yes,,Yes,Yes,"Restaurants, Gym"
"Lane-3, Clement Town",7173,3.3,Male,No,,No,Yes,"Transportation, Gym, Grocery Stores, Restaurants, Medical Shops"
Mohabbewala,6855,8.2,Male,No,,Yes,No,"Grocery Stores, Gym, Transportation, Medical Shops"
"Lane-3, Clement Town",8001,3.3,Female,No,,Yes,No,Transportation
Gurn Nanak Road,8643,5.0,Female,No,,No,Yes,"Grocery Stores, Gym, Restaurants, Medical Shops, Transportation"
"Lane-3, Clement Town",11941,3.3,Male,No,,Yes,Yes,"Medical Shops, Gym, Restaurants, Grocery Stores"
Morowala,3996,7.0,Male,No,,Yes,Yes,"Grocery Stores, Restaurants, Transportation"
"Lane-3, Clement Town",8136,3.3,Female,Yes,,No,No,"Grocery Stores, Restaurants, Medical Shops"
Bharuwala colony,5329,6.2,Female,Yes,,No,No,"Gym, Restaurants, Transportation"
Pant Road,4914,6.4,Male,Yes,,Yes,No,"Transportation, Gym, Medical Shops"
Mohabbewala,4401,,Male,No,778.0,No,No,Gym
"Lane-10, Post Office Road",6411,,Female,Yes,439.0,No,No,Gym
Air Force Colony,4348,,Male,No,468.0,No,No,"Transportation, Gym, Grocery Stores, Medical Shops"
Gurn Nanak Road,6297,,Female,Yes,707.0,No,Yes,"Transportation, Restaurants, Grocery Stores"
"Lane-2, Clement Town",6783,,Female,No,901.0,Yes,No,"Gym, Grocery Stores, Restaurants, Medical Shops"
"Lane-3, Clement Town",4346,,Female,No,667.0,Yes,Yes,"Restaurants, Grocery Stores"
"Lane-10, Post Office Road",4235,,Female,No,807.0,No,No,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation"
St Mary Church,7109,,Female,Yes,982.0,Yes,No,"Gym, Medical Shops, Transportation, Grocery Stores, Restaurants"
Clement Town,6733,,Male,No,573.0,Yes,No,"Restaurants, Grocery Stores"
Jaligaon,7422,,Male,No,825.0,No,Yes,"Transportation, Medical Shops, Gym"
Tibetan Colony,5363,,Female,No,632.0,No,Yes,"Medical Shops, Grocery Stores, Transportation"
Air Force Colony,5383,,Female,Yes,975.0,No,No,"Restaurants, Medical Shops, Gym, Transportation"
"Lane-10, Post Office Road",5454,,Female,No,746.0,No,No,"Grocery Stores, Gym, Medical Shops, Restaurants, Transportation"
Subhash Nagar,4996,,Female,No,216.0,Yes,No,"Medical Shops, Grocery Stores, Gym, Restaurants, Transportation"
Tibetan Colony,7494,,Male,Yes,708.0,Yes,No,Restaurants
Morowala,4132,,Female,No,740.0,No,Yes,"Medical Shops, Restaurants, Transportation, Gym, Grocery Stores"
"Lane-10, Post Office Road",5749,,Female,Yes,713.0,No,No,"Grocery Stores, Gym"
Sahastradhara,4843,,Male,Yes,705.0,No,No,Gym
Pant Road,7235,,Female,No,326.0,No,Yes,"Transportation, Medical Shops, Grocery Stores"
Mohabbewala,4603,,Male,Yes,636.0,Yes,No,"Gym, Transportation, Grocery Stores"
Clement Town,4055,,Female,No,258.0,Yes,No,"Grocery Stores, Medical Shops, Transportation"
Mohabbewala,7363,,Female,No,530.0,No,Yes,"Transportation, Grocery Stores"
Subhash Nagar,4570,,Male,Yes,951.0,No,No,"Transportation, Restaurants, Medical Shops, Grocery Stores, Gym"
"Lane-3, Clement Town",7595,,Male,Yes,780.0,Yes,Yes,"Transportation, Grocery Stores, Restaurants, Medical Shops"
Jaligaon,4530,,Male,Yes,501.0,No,Yes,Gym
Pant Road,7441,,Female,No,306.0,No,Yes,"Medical Shops, Grocery Stores, Gym, Transportation, Restaurants"
Pant Road,7921,,Female,Yes,570.0,Yes,No,"Grocery Stores, Medical Shops"
Mohabbewala,6483,,Male,No,804.0,No,Yes,"Grocery Stores, Transportation, Medical Shops"
ISBT Road,6717,,Male,Yes,559.0,No,No,Grocery Stores
"Clement Town, Post Office Road, Lane No 10",4025,,Male,Yes,626.0,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym"
Bell Road,7581,,Male,No,475.0,Yes,No,Gym
Manav Kendra,4336,,Female,Yes,803.0,Yes,Yes,"Grocery Stores, Restaurants, Transportation, Medical Shops"
St Mary Church,7195,,Female,No,440.0,Yes,No,"Restaurants, Transportation, Medical Shops"
"Lane-1, Clement Town",6998,,Male,Yes,660.0,Yes,No,"Gym, Medical Shops, Grocery Stores, Transportation"
Air Force Colony,6198,,Female,No,673.0,Yes,Yes,Restaurants
Bell Road,7238,,Male,Yes,783.0,Yes,No,"Gym, Medical Shops, Transportation"
Subhash Nagar,4565,,Female,Yes,663.0,Yes,Yes,"Restaurants, Transportation, Medical Shops, Grocery Stores"
Mohabbewala,4020,,Female,Yes,500.0,No,Yes,"Grocery Stores, Transportation, Gym, Medical Shops"
Tibetan Colony,4830,,Female,No,738.0,No,No,Medical Shops
"Lane-4, Clement Town",5699,,Female,Yes,451.0,No,No,"Transportation, Grocery Stores"
Subhash Nagar,7015,,Male,Yes,839.0,Yes,No,"Medical Shops, Gym"
Tibetan Colony,7965,,Female,No,721.0,Yes,Yes,Gym
Mohabbewala,7150,,Male,Yes,744.0,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7464,,Male,No,462.0,No,No,Gym
St Mary Church,4510,,Female,Yes,237.0,Yes,No,Medical Shops
GK army Pre Primary School,5706,,Male,No,206.0,No,Yes,"Transportation, Restaurants, Grocery Stores, Gym"
St Mary Church,6260,,Female,Yes,822.0,Yes,Yes,"Restaurants, Gym, Transportation, Medical Shops, Grocery Stores"
Sahastradhara,4578,,Male,Yes,963.0,No,No,"Grocery Stores, Gym, Transportation, Medical Shops"
Mohabbewala,4898,,Female,Yes,843.0,Yes,No,"Grocery Stores, Transportation"
"Lane-1, Clement Town",5501,,Male,No,524.0,Yes,No,"Grocery Stores, Transportation"
"Subhash Nagar, Dehradun",5014,,Female,No,698.0,No,Yes,"Restaurants, Medical Shops, Transportation, Gym, Grocery Stores"
Jaligaon,7518,,Male,No,373.0,Yes,Yes,"Gym, Transportation, Medical Shops, Grocery Stores"
Sahastradhara,5645,,Female,Yes,958.0,No,Yes,"Grocery Stores, Medical Shops"
Air Force Colony,7284,,Male,Yes,781.0,Yes,No,Transportation
Bell Road,6515,,Female,Yes,445.0,Yes,Yes,"Grocery Stores, Restaurants, Gym, Medical Shops, Transportation"
"Lane-10, Post Office Road",7753,,Male,Yes,499.0,No,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores"
"Subhash Nagar, Dehradun",4948,,Male,No,729.0,No,No,"Gym, Restaurants, Medical Shops, Transportation"
"Subhash Nagar, Dehradun",4989,,Male,No,739.0,No,No,"Grocery Stores, Medical Shops, Gym, Restaurants, Transportation"
GK army Pre Primary School,4749,,Female,No,726.0,No,Yes,"Transportation, Gym, Medical Shops"
Subhash Nagar,6405,,Male,Yes,745.0,Yes,No,"Restaurants, Grocery Stores, Medical Shops"
Subhash Nagar,4340,,Female,Yes,675.0,Yes,Yes,Gym
Pant Road,4267,,Female,Yes,271.0,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Gym, Medical Shops"
"Lane-4, Clement Town",4493,,Female,Yes,432.0,No,No,"Restaurants, Transportation, Grocery Stores, Medical Shops, Gym"
"Lane-2, Clement Town",5632,,Female,Yes,651.0,No,Yes,Medical Shops
"Lane-3, Clement Town",6916,,Male,Yes,482.0,No,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation"
ISBT Road,4823,,Female,Yes,477.0,Yes,Yes,"Transportation, Medical Shops, Gym"
Gurn Nanak Road,5788,,Female,Yes,285.0,Yes,No,"Transportation, Medical Shops"
Shubhash Nagar,4232,,Male,Yes,878.0,Yes,Yes,"Grocery Stores, Transportation"
Tibetan Colony,6762,,Male,No,232.0,Yes,No,"Grocery Stores, Transportation, Gym, Restaurants, Medical Shops"
Sahastradhara,6298,,Male,Yes,851.0,No,No,"Gym, Grocery Stores, Restaurants, Medical Shops"
Pant Road,5693,,Female,No,290.0,No,No,Transportation
Manav Kendra,6802,,Female,No,260.0,Yes,No,Transportation
"Subhash Nagar, Dehradun",5767,,Female,No,414.0,Yes,No,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops"
Bharuwala colony,5802,,Male,No,295.0,Yes,Yes,"Transportation, Restaurants, Medical Shops"
"Lane-3, Clement Town",7708,,Male,Yes,376.0,Yes,Yes,"Medical Shops, Restaurants"
St Mary Church,7511,,Female,Yes,879.0,Yes,No,"Medical Shops, Transportation"
Clement Town,5010,,Female,Yes,645.0,No,Yes,"Grocery Stores, Restaurants, Gym"
Nehru Marg,4688,,Male,No,956.0,No,Yes,"Restaurants, Gym, Medical Shops, Transportation, Grocery Stores"
Nehru Marg,4764,,Female,No,991.0,No,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores"
Shubhash Nagar,7546,,Male,Yes,656.0,Yes,Yes,"Restaurants, Transportation"
Mohabbewala,6213,,Male,No,343.0,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Gym"
Manav Kendra,7437,,Male,No,656.0,Yes,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
"Clement Town, Post Office Road, Lane No 10",6663,,Male,Yes,347.0,Yes,Yes,"Gym, Grocery Stores, Transportation, Restaurants, Medical Shops"
Tibetan Colony,4731,,Male,No,854.0,No,Yes,"Gym, Restaurants, Grocery Stores, Medical Shops"
Tibetan Colony,4901,,Female,No,931.0,No,No,Restaurants
Air Force Colony,7882,,Female,Yes,429.0,Yes,No,"Restaurants, Transportation, Grocery Stores, Medical Shops"
Morowala,5884,,Female,Yes,962.0,No,Yes,"Restaurants, Medical Shops"
"Lane-1, Clement Town",6909,,Female,Yes,948.0,Yes,No,"Medical Shops, Restaurants"
"Lane-4, Clement Town",6545,,Male,No,610.0,No,Yes,"Gym, Medical Shops, Transportation, Grocery Stores, Restaurants"
Pant Road,7256,,Male,No,240.0,No,No,"Gym, Grocery Stores, Restaurants, Medical Shops"
Bharuwala colony,6665,,Female,Yes,542.0,Yes,No,"Gym, Restaurants, Medical Shops, Transportation"
"Lane-2, Clement Town",6255,,Female,No,715.0,No,No,"Gym, Restaurants, Medical Shops"
Manav Kendra,4084,,Female,No,389.0,No,No,"Gym, Restaurants, Medical Shops, Grocery Stores, Transportation"
"Lane-2, Clement Town",7009,,Male,Yes,582.0,Yes,No,"Gym, Transportation, Restaurants"
Jaligaon,4109,,Female,No,329.0,Yes,Yes,"Medical Shops, Restaurants, Grocery Stores, Transportation, Gym"
Subhash Nagar,7739,,Female,Yes,802.0,No,No,"Gym, Transportation"
Mohabbewala,5546,,Female,No,761.0,Yes,Yes,"Medical Shops, Gym"
Tibetan Colony,4680,,Female,Yes,494.0,No,Yes,"Transportation, Grocery Stores, Restaurants"
Jaligaon,5006,,Female,No,619.0,No,Yes,Transportation
Shubhash Nagar,6936,,Male,No,981.0,No,No,Grocery Stores
"Lane-10, Post Office Road",5978,,Male,No,252.0,Yes,No,"Grocery Stores, Gym, Medical Shops, Transportation"
Tibetan Colony,5314,,Female,No,901.0,No,No,"Restaurants, Grocery Stores, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",6422,,Female,Yes,545.0,Yes,Yes,"Grocery Stores, Gym, Transportation, Medical Shops, Restaurants"
"Clement Town, Post Office Road, Lane No 10",4034,,Female,No,601.0,Yes,Yes,"Medical Shops, Restaurants, Transportation, Gym"
"Lane-2, Clement Town",4222,,Female,Yes,470.0,No,No,Gym
"Lane-1, Clement Town",4257,,Female,No,760.0,No,Yes,"Gym, Medical Shops, Transportation, Restaurants"
St Mary Church,4119,,Male,No,827.0,No,Yes,"Medical Shops, Grocery Stores, Gym, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7899,,Female,No,613.0,Yes,No,Gym
Clement Town,6815,,Male,No,755.0,Yes,No,"Restaurants, Gym, Medical Shops, Grocery Stores"
Jaligaon,7888,,Female,No,959.0,No,No,"Restaurants, Grocery Stores"
"Lane-1, Clement Town",7008,,Female,Yes,241.0,Yes,Yes,"Restaurants, Grocery Stores, Medical Shops, Transportation"
St Mary Church,5959,,Male,No,682.0,Yes,Yes,"Restaurants, Transportation"
Bharuwala colony,7740,,Female,No,479.0,No,No,"Grocery Stores, Transportation"
Clement Town,6998,,Female,No,341.0,No,Yes,"Restaurants, Grocery Stores, Gym"
"Clement Town, Post Office Road, Lane No 10",4970,,Female,Yes,347.0,No,Yes,"Restaurants, Medical Shops, Grocery Stores"
ISBT Road,5312,,Male,No,569.0,No,Yes,"Transportation, Grocery Stores"
Bharuwala colony,4041,,Female,No,521.0,Yes,No,"Restaurants, Grocery Stores"
Jaligaon,7031,,Female,No,867.0,No,Yes,"Transportation, Gym, Restaurants, Grocery Stores, Medical Shops"
Morowala,6921,,Female,No,506.0,Yes,No,"Medical Shops, Transportation, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",7606,,Female,Yes,447.0,No,Yes,Medical Shops
